region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_for_purchase,saved_no_purpose,digital_payment_other,mobile_payment_bill,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,prefer_digital_fin,prefer_digital,saved_any,region_cleaned,biz_loan_source_missing,biz_loan_missing,loan_purpose_group_missing,loan_purpose_missing,saved_for_purchase_missing,saved_no_purpose_missing,digital_payment_other_missing,mobile_payment_bill_missing,govt_digital_pay_acc_missing,digital_pay_missing,digital_pay_acc_missing,govt_payment_recv_missing,prefer_digital_fin_missing,prefer_digital_missing
Sub-Saharan Africa (excluding high income),Low income,all,all,0.036967262381342,0.0,0.0149521968075751,0.0149521968075751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.100480565895901,0.0,0.0594546443593077,0.0594546443593077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.50358727770345,0.0,0.199036913389363,0.199036913389363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.883910202534742,0.0,0.12231137162294,0.12231137162294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.852376450858957,0.0,0.304449669363736,0.304449669363736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.806511950648924,0.0,0.354813302471348,0.354813302471348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.997367892497757,0.0,0.565099313186307,0.565099313186307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.122738820555453,0.0,0.0335069960464404,0.0335069960464404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.382046711827488,0.0,0.159721590288443,0.159721590288443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.36735500850728,0.0,0.145067546308968,0.145067546308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.0971998059496632,0.0,0.0069266410105615,0.0069266410105615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.137646151544156,0.0,0.129120020722092,0.129120020722092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.968242760223261,0.0,0.288711906324947,0.288711906324947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.285694412970381,0.0,0.177559971126301,0.177559971126301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.996512520212112,0.0,0.561382686758629,0.561382686758629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.969838847229744,0.0,0.495179305396728,0.495179305396728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.189465176301576,0.0,0.0866142452195831,0.0866142452195831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.329809681896803,0.0,0.0104562148669572,0.0104562148669572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.981336173269525,0.0,0.559000427582537,0.559000427582537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.294253535855083,0.0,0.161385716122432,0.161385716122432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.779398583523638,0.0,0.198658219598016,0.198658219598016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.223188831452242,0.0,0.102150904598597,0.102150904598597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0368785001184746,0.0,0.020361637126878,0.020361637126878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.220072687973852,0.0,0.180451455600965,0.180451455600965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.205122646001849,0.0,0.0854963649514165,0.0854963649514165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.886860396908465,0.0,0.427736497615615,0.427736497615615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.726743206569059,0.0,0.172527734320246,0.172527734320246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
South Asia (excluding high income),Lower middle income,all,all,0.352318385316409,0.0,0.116039790894829,0.116039790894829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
East Asia & Pacific (excluding high income),Lower middle income,all,all,0.195819907600545,0.0,0.152883186195346,0.152883186195346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0,0,1,1,1,1,1,1,1,1,1,1,1,1
