region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,credit_card,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_old_age,saved_for_purchase,saved_no_purpose,mobile_pay_s_r,digital_payment_other,mobile_payment,mobile_payment_bill,govt_digital_pay,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,fin_resilience,emergency_funds,prefer_digital_acc,prefer_digital_fin,prefer_digital,saved_any,region_clean
Sub-Saharan Africa (excluding high income),Lower middle income,laborforce,in laborforce,0.201024048533781,0.5121952524019282,0.18624733774229088,0.1908893647733114,0.19767620849843875,0.16818476025434848,0.16378856639725542,0.5519429337636452,0.5102903356417711,0.48970966435822905,0.18211515167337666,0.251369467341978,0.15521702571031276,0.22368916374522677,0.17338378852520006,0.1971832137785744,0.20536166990329013,0.2121840221396816,0.21782558367424984,0.1705392416073289,0.27924050233856407,0.1569065644458677,0.15999669781705958,0.17148975114481607,0.7068986892590323,Sub-Saharan Africa
High income,High income,laborforce,out of laborforce,0.936337006841337,0.6750352564950698,0.4043696862208542,0.425729315736158,0.425729315736158,0.6007989066935276,0.6007989066935275,0.718948318567244,0.7736607263665624,0.22633927363343784,0.5531207810032124,0.7085035362475816,0.5525752338434166,0.1674327642457614,0.09864249074060265,0.10143754914694236,0.1735756074080603,0.13940977006765212,0.13663463773883708,0.5353100373261351,0.681907963903078,0.447372835221169,0.45578491078342814,0.5531704216802005,0.6676495517418286,High income countries
High income,High income,laborforce,in laborforce,0.970665880831969,0.768037424280653,0.6904660049767521,0.593822712023531,0.593822712023531,0.7096385240282814,0.7096385240282814,0.8066347330861032,0.8308624697334589,0.1691375302665411,0.6108251342731317,0.754062556896266,0.6067104315917697,0.13590335687856298,0.5246712570305553,0.5347349352109654,0.7305022153387859,0.6505194159226378,0.6406771534392538,0.2729468603281679,0.747315193645121,0.2952546917882748,0.19179540912793364,0.3753948674472126,0.8006051950771169,High income countries
High income,High income,laborforce,out of laborforce,0.297293353246334,0.3557526449773658,0.08136927442697692,0.07263316080945872,0.07263316080945867,0.10074069768118461,0.10052693962140426,0.39661230530027636,0.44180980581475854,0.5581901941852416,0.09098772019678306,0.38830955373726384,0.0942232514540344,0.3342395141962292,0.02645897636239186,0.036069304856271606,0.05863789776820988,0.03512156130253574,0.029614093464609303,0.24465842863186904,0.14101755367159,0.12015854874167156,0.12711876613711487,0.1888622257349672,0.3292670272102386,High income countries
High income,High income,laborforce,in laborforce,0.547414476542673,0.5275645355871594,0.19901177956429797,0.17616622590132797,0.176166225901328,0.20597847733224522,0.20378610977243583,0.4922994770893882,0.5290056815924431,0.470994318407557,0.20671040374015948,0.5510743034360515,0.2271506646988102,0.47568753649167406,0.20729470535543373,0.2459064493906893,0.3982071775209748,0.2793205428484208,0.2439110617792873,0.14317157632978975,0.31675798528744,0.13347340541673586,0.156713536060461,0.2276738781128375,0.4869264709466395,High income countries
East Asia & Pacific (excluding high income),Upper middle income,laborforce,out of laborforce,0.544379854170226,0.40013883796482674,0.1854984351613973,0.242636005215258,0.242636005215258,0.14369469525838363,0.14369469525838363,0.4501944390610213,0.49135451588366275,0.5086454841163377,0.11604293791604353,0.5612048996336179,0.1290107930557015,0.4547541923585708,0.07703241592467237,0.0591814580703279,0.12618618739008672,0.08435902862732325,0.07525707439703794,0.2778335988589834,0.09487722591434539,0.19596586031179486,0.21444353023566873,0.29309965160421064,0.49146646266889527,East Asia & Pacific
East Asia & Pacific (excluding high income),Upper middle income,laborforce,in laborforce,0.665988886318933,0.5147994327430684,0.3761041084523894,0.344102820154045,0.344102820154045,0.2797899813608063,0.2789039116667528,0.6599305852850201,0.6899802853828558,0.3418238271470838,0.20224760617732407,0.7392191142825222,0.18982055287031083,0.5451526770097327,0.2557918882703769,0.21978665588686522,0.5434313667899856,0.3025798956280335,0.20664673405860937,0.1864197366212974,0.23938894076246003,0.16451772679674326,0.19458331408080004,0.25149639950877467,0.5088327940417611,East Asia & Pacific
Latin America & Caribbean (excluding high income),Upper middle income,laborforce,out of laborforce,0.151417101115044,0.31201225049497816,0.09256296777343098,0.06640673376238676,0.0664067337623867,0.08521748137103297,0.08521748137103297,0.3482906212537377,0.38847677031846,0.6115232296815398,0.08311342506220037,0.354557504782236,0.07748288015684793,0.32021915403286044,0.013880951512171974,0.022145976340303825,0.04529235077299559,0.01068328572996241,0.007902318148455989,0.1921350833342808,0.04063217934249991,0.10303758153359965,0.08003581485666147,0.13820751444504975,0.30057822473313983,Latin America & Caribbean
Latin America & Caribbean (excluding high income),Upper middle income,laborforce,in laborforce,0.425363816266001,0.4478861068888863,0.2016947051106373,0.17057654417338347,0.13981380295758852,0.1567346870122026,0.15673468701220258,0.4554835846959236,0.6695616059262967,0.3304383940737034,0.16032360794476297,0.5081459314542865,0.1410634758778585,0.37004313537452904,0.1671793737733677,0.15527241762029137,0.29724639910572526,0.19609836111042647,0.19688540007110023,0.14184095714384035,0.150420589124131,0.13787997997007073,0.12131574860556676,0.18117698586078,0.4669726284349027,Latin America & Caribbean
Sub-Saharan Africa (excluding high income),Lower middle income,laborforce,out of laborforce,0.0861815930638108,0.3650075296951023,0.0640521957253842,0.05442489721272059,0.05442489721272059,0.05737726163495832,0.07226911137334927,0.4179550080796446,0.36876062013905714,0.6312393798609429,0.0956249295884529,0.13488864406922196,0.09379028998726344,0.11857454900374334,0.029769766547494497,0.035612121708224115,0.04704384222857294,0.029752464733488,0.022117438117594673,0.12615428122156708,0.08251770315063367,0.08950531015650925,0.06276698546505538,0.08876583674746735,0.408760198210817,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),Lower middle income,laborforce,in laborforce,0.39531399696964,0.5976477937033217,0.1815968505864597,0.180251600228197,0.180251600228197,0.15093456394727084,0.17624941224577773,0.5384088968252831,0.5876603413120665,0.41233965868793365,0.1831431098188563,0.28592444268777234,0.2026634041137756,0.23858438720539876,0.20979572378170067,0.18683053704408847,0.2685562535660343,0.23553565542506158,0.22702280216248352,0.12371066610134279,0.2506681702164963,0.1429909809429592,0.1432960746493988,0.151933618841703,0.676556929562344,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),Lower middle income,laborforce,out of laborforce,0.0547960857688156,0.44833871950273446,0.08128790992941445,0.04713085067794409,0.046238608666908515,0.0558756406619155,0.0696802845170105,0.40401555795674304,0.4186807362866,0.5813192637134003,0.09387291560760586,0.11912651228115251,0.07991171062585961,0.10519776557221314,0.03830204692465408,0.04494975132347534,0.04465140728660827,0.026099850406738512,0.026941412096664286,0.12503897428790808,0.07651949289940296,0.07864574970885674,0.05680155435743581,0.09418153128407092,0.43178028491362797,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),Lower middle income,laborforce,in laborforce,0.16043407596146,0.5769423210992624,0.18864339200600827,0.1987762883480635,0.20809856977589059,0.1670557459565878,0.16310211108100708,0.5400276526756405,0.538741721488774,0.46125827851122625,0.18204083044796726,0.26050628600108466,0.15513918370501129,0.2365730779574068,0.1732796687895371,0.19753467145067521,0.21519695645433043,0.2118219435793471,0.21730952974355044,0.16840938646452064,0.2794073276194531,0.15591695124468613,0.1580063736220622,0.17196923364462846,0.7303329239205744,Sub-Saharan Africa
Latin America & Caribbean (excluding high income),Upper middle income,laborforce,out of laborforce,0.38065824844523,0.2808566334050394,0.09300577852987696,0.1215384283524,0.1215384283524,0.08640986936436384,0.08522389409541525,0.38621449712005573,0.3871957744444693,0.6128042255555312,0.09239781269431371,0.4757894958003919,0.08627056558281163,0.38265898731535924,0.024746001994851524,0.030525980776403616,0.09626470761571765,0.042980707378944494,0.03942031126149442,0.19171975904932748,0.061930397664214,0.14745408286440082,0.11469601252064224,0.20071455043631653,0.24686056797746364,Latin America & Caribbean
