regionwb24_hi,incomegroupwb24,group,group2,borrow_any_t_d,fin26a,fin17a_17a1_d,fin17a,fin22a_22a1_22g_d,fin22a,fin24aSD_ND,fin24aP,fin24aN,fin31a_31b,fin30,fin31a,fin31d,fin32_n33_34a,fin32_n33_acc,fin32,fin32_acc,fin34a,fin37_38,fin10,fing2p_acc,fing2p_fin,fing2p,save_any_t_d,account_t_d
Sub-Saharan Africa (excluding high income),Low income,all,all,0.5213679492223551,0.02879174520417499,0.03306609623333037,0.0330660962333304,0.02696584880947342,0.026372130117550907,0.33449840211012205,0.41846578085283853,0.5815342191471613,0.03330946820294256,0.15315251748813913,0.005731206505249997,0.0960793554581588,0.006153896850663698,0.014099091650678908,0.16467331873116367,0.022373672820112822,0.012436594740152684,0.068676166324149,0.0060358028829903265,0.022784235761669408,0.008943062224102655,0.09238564796568094,0.378479495143507,0.0723798460936825
East Asia & Pacific (excluding high income),Lower middle income,all,all,0.5571661186550533,0.04883375023302311,0.008087082353395725,0.008087082353395725,0.23208117329557776,0.22929468583744128,0.6049287191514564,0.7386485334748627,0.261351466525137,0.05711135896935465,0.5586066254481776,0.04784218305159349,0.499028776255887,0.03320933647863178,0.040829435792534924,0.32464509208660625,0.05811017316651004,0.04834222121969439,0.13318932158652055,0.0014268335845155078,0.05640684211920455,0.03200023919616887,0.17238661863052154,0.4955202688937122,0.0365971165444537
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.4659793939931001,0.05973994019052575,0.09940994655418428,0.09940994655418428,0.062044584805135305,0.06118234794496938,0.4712220298819677,0.48277318273583303,0.5172268172641671,0.030952308182431665,0.2350060733579435,0.014300649227147577,0.18559592570728864,0.023731776876416893,0.030763684070407804,0.16531850514075028,0.055415275462279395,0.04646794347434913,0.08449667372383815,0.0183738640705981,0.060041224946336846,0.038940989188212455,0.1164909287457099,0.5291336067904522,0.148096124143559
High income,High income,all,all,0.7563863445009833,0.5290103294365989,0.532030785190891,0.532030785190891,0.6970561828314181,0.6970561828314181,0.794909751223407,0.8243267839257239,0.17567321607427602,0.5523632713650091,0.7025104957997388,0.5465206885737462,0.12300757430047643,0.3845518180109273,0.3887430333468514,0.5595235814211805,0.5182658492767861,0.514450057831401,0.3942896110055273,0.723271186897608,0.3944135003040781,0.346381026953973,0.47482136772738337,0.6718959037726543,0.958046424525372
Sub-Saharan Africa (excluding high income),Low income,all,all,0.536216875596075,0.029219905904700694,0.024745390977581383,0.02474539097758141,0.02614304601270742,0.02531975472652323,0.30479203599225757,0.5285176587316911,0.4714823412683087,0.05152599732228891,0.1519783183458357,0.008613722040657468,0.08064333147751432,0.006135548447713829,0.015541537465360716,0.11857037824725322,0.023874320081288702,0.012272952333430565,0.07206436016887854,0.006190367646992712,0.020823344635973073,0.008730070630186576,0.09136155480380342,0.391383363592388,0.0330080913421627
Sub-Saharan Africa (excluding high income),Low income,all,all,0.46886949045173554,0.03982198193390857,0.06839304566577331,0.06839304566577334,0.06756134389700907,0.06566716034818229,0.34450130116001754,0.4616232587765963,0.5383767412234036,0.03327030074353593,0.1369450954182408,0.02159352404199366,0.07718571740524924,0.011319451466796221,0.023945887159318835,0.14272336268036112,0.04401175979931646,0.028395838256634193,0.08226031628754596,0.05293595952865732,0.044039010388124245,0.02802576687839692,0.10659809386813682,0.4768865888052685,0.0895974560162476
High income,High income,all,all,0.44642441870408583,0.22572237186644276,0.124167452865345,0.124167452865345,0.250679831595061,0.24883611152203783,0.5479202094820922,0.5775071383591497,0.4224928616408504,0.16035635372995,0.5740861037544903,0.14698286626054088,0.3882680281125427,0.13457970767486807,0.15578997955352364,0.35295059245755017,0.21576787951243148,0.18757737819966985,0.20826378665435324,0.228493556829444,0.19985120408457996,0.1323888521960965,0.26658292386509364,0.3708208223600865,0.421792854983892
East Asia & Pacific (excluding high income),Upper middle income,all,all,0.5048872343611011,0.27211871483933714,0.320894212251223,0.320894212251223,0.2426638272594653,0.24117583456729216,0.6937201890084821,0.5874860706581052,0.41251392934189496,0.20707880894133032,0.696512009287997,0.19707684636181172,0.4716264267005187,0.16504140493120217,0.17934198675310078,0.38142166654006227,0.2395584290777766,0.2261015952754169,0.34155647143129947,0.0823370093086897,0.313959932270119,0.20111768115475404,0.39921183914217667,0.6578514238624009,0.638173128563221
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.34523481577832626,0.071264501255634,0.0920452971172897,0.0920452971172897,0.1566489377049463,0.15651825590630192,0.46577187960989735,0.4299649583778575,0.5700350416221422,0.0852739777148723,0.5823620543760625,0.0740320620065027,0.46342467724502445,0.07529015567280423,0.08651286261239635,0.2797961681775505,0.12889757450327846,0.11363713082730117,0.12757031969778793,0.101893567760349,0.10060289475221629,0.08413870686164257,0.17442647359483687,0.38540012745885993,0.304278010167618
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.49904648009681357,0.05679123461483687,0.107650463852356,0.107650463852356,0.07431570987450528,0.07295821746841064,0.45993487588818305,0.5486151239971055,0.45138487600289434,0.041542656931503275,0.2526275882005709,0.019892159085804884,0.190741565054583,0.025067943529514886,0.0351015188842517,0.17006358319441986,0.06133526110172735,0.04894890289445847,0.08029919743516298,0.014681163384190704,0.056154410172369745,0.03818834401366469,0.11327691801667256,0.5139418833973947,0.216946740447008
Sub-Saharan Africa (excluding high income),Low income,all,all,0.5310078960330649,0.026738087382932096,0.014952196807575091,0.014952196807575091,0.029410734013628287,0.02919403913293217,0.2794551984844252,0.5174040711014434,0.48259592889855646,0.02822664662298824,0.11408719677363566,0.007937056893605299,0.0708906699344205,0.005534368107063425,0.013500259877592652,0.10134594763219643,0.024216066664192848,0.012821215163564603,0.06769003239731819,0.016170004393660092,0.02288414889332821,0.010992219444950518,0.08752901649486697,0.3782243100386982,0.036967262381342
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.47068519714198803,0.06205401106865188,0.059454644359307696,0.059454644359307696,0.052518197450929616,0.05251819745092964,0.4502083734310419,0.44365002233983974,0.5563499776601604,0.05656827729717551,0.22455003694994552,0.021614968175248994,0.1472340079639485,0.022803957331694907,0.03825503968484331,0.15828748337749718,0.059033745835340934,0.041189445761692395,0.08336677591474065,0.04585972562367627,0.05617221003160974,0.03335025952830439,0.11053388910722947,0.5144761381367998,0.100480565895901
